名稱,註冊號碼,地址,統編,緯度,經度,日期
富山共同製茶廠,99609881,新北市三峽區成福路247、249號,1924348,121.42668,24.92503,中華民國59年08月23日 03:38:51
大人行實業有限公司,99618781,新北市中和區橋和路九五號,5152960,121.49055,25.00562,中華民國59年08月23日 03:38:51
良億食品廠,99689691,新北市中和區自立路一四一巷九號一樓,2368973,121.52281,24.99365,中華民國59年08月23日 03:38:51
欣裕食品有限公司,99605944,新北市新店區民權路一五七、一五九號三樓,22247203,121.53403,24.98264,中華民國59年08月23日 03:38:51
虎林食品行,99612911,新北市三重區中正北路25巷21號1樓,1976582,121.4931,25.0625,中華民國59年08月23日 03:38:51
王一企業有限公司,99689753,新北市永和區永貞路三二０號一樓,31256006,121.51166,25.00512,中華民國59年08月23日 03:38:51
祥茂糖菓工廠,99619694,新北市坪林區坪林里二六號一樓,33821909,121.71284,24.94237,中華民國59年08月23日 03:38:51
漢點食品工廠有限公司,99605227,新北市新莊區自立街二一四巷一０弄二二號一樓,22768929,121.45637,25.04497,中華民國59年08月23日 03:38:51
順溢油業有限公司,99604153,新北市土城區慶祥街四二號,22223119,121.43691,24.97453,中華民國59年08月23日 03:38:51
青峰實業股份有限公司,99605201,新北市中和區中正路1226號5樓之1,20790729,121.47942,25.01099,中華民國59年08月23日 03:38:51
信好食品廠,99617575,新北市汐止區大同路一段三三七巷一六弄一八號,2296964,121.63752,25.06095,中華民國59年08月23日 03:38:51
聯米企業股份有限公司,99613616,新北市樹林區光武街三六巷一號,86213452,121.41708,25.00633,中華民國59年08月23日 03:38:51
青映食品冷凍股份有限公司,99605340,新北市汐止區大同路1段358號,22389173,121.64028,25.06024,中華民國59年08月23日 03:38:51
國暉國際有限公司,99604859,新北市新店區中正路五四二之一號四樓,4890618,121.53379,24.98455,中華民國59年08月23日 03:38:51
竹軒西點麵包店,99604924,新北市樹林區中山路一段九一號一樓,34205093,121.42339,24.99116,中華民國59年08月23日 03:38:51
上發食品廠,99610365,新北市新莊區化成路二九巷八六號,2163161,121.46215,25.04409,中華民國59年08月23日 03:38:51
頂嘉麻油食品工廠,99601564,新北市土城區亞洲路五八巷五弄一八號,1927160,121.43412,24.97369,中華民國59年08月23日 03:38:51
元福美食品廠,99604287,新北市林口區中正路二五九號一樓,35838807,121.39046,25.07759,中華民國59年08月23日 03:38:51
品愿股份有限公司五股廠,99602377,新北市五股區五工三路一二一號,22727456,121.45424,25.06811,中華民國59年08月23日 03:38:51
銘洋食品冷凍股份有限公司,99619554,新北市五股區五權八路三三號,22997492,121.44858,25.06893,中華民國59年08月23日 03:38:51
振芳食品工廠,99611779,新北市新莊區福營路二二七巷四五及四七號,35325807,121.43044,25.02847,中華民國59年08月23日 03:38:51
美佳利蛋糕麵包廠,99618551,新北市新店區寶橋路二一二號,38060415,121.55106,24.97845,中華民國59年08月23日 03:38:51
五魚實業有限公司,99603566,新北市樹林區三俊街七四巷四四號,34685115,121.41382,25.0138,中華民國59年08月23日 03:38:51
宏鑫碾米廠,99617864,新北市中和區中正路一二０六巷四號,2377071,121.48032,25.01086,中華民國59年08月23日 03:38:51
漢軒食品廠股份有限公司,99689655,新北市新店區民權路九０巷三五號三樓,22748282,121.53642,24.98409,中華民國59年08月23日 03:38:51
晶品股份有限公司新莊廠,99602254,新北市五股區五工路一二六號,22394204,121.45126,25.06862,中華民國59年08月23日 03:38:51
譚少華食品廠有限公司,99619771,新北市汐止區南陽街一二０巷七號一、二樓,22318163,121.62392,25.06026,中華民國59年08月23日 03:38:51
海歷香食品廠,99616359,新北市新店區民權路九０巷三六號二樓,2288768,121.53656,24.9841,中華民國59年08月23日 03:38:51
統力食品企業股份有限公司樹林廠,99600505,新北市樹林區柑園街1段192號,34428046,121.39522,24.95662,中華民國59年08月23日 03:38:51
啓生食品工業股份有限公司,99615678,新北市中和區中山路3段136巷10弄10號,23391514,121.47436,25.00708,中華民國59年08月23日 03:38:51
益弘食品有限公司,99608963,新北市中和區中山路二段三四０巷四七號,80579290,121.49312,25.00398,中華民國59年08月23日 03:38:51
長旺興業有限公司,99615745,新北市中和區中山路二段三四０巷一九號,22370723,121.49344,25.00302,中華民國59年08月23日 03:38:51
仕維生股份有限公司汐止廠,99619901,新北市汐止區環河街一七六號,12487549,121.62812,25.05731,中華民國59年08月23日 03:38:51
新北食品股份有限公司,99617888,新北市三重區國道路1段59號,53683051,121.48113,25.07278,中華民國59年08月23日 03:38:51
立台食品工業股份有限公司,99618602,新北市三重區光華路59號,36286198,121.46713,25.05995,中華民國59年08月23日 03:38:51
正全製茶工廠,99615809,新北市三峽區竹崙里竹崙路一六號,34146530,121.42686,24.92264,中華民國59年08月23日 03:38:51
名泓實業股份有限公司,99603273,新北市五股區五權六路15號(1樓),23123623,121.44984,25.06492,中華民國59年08月23日 03:38:51
漢皇食品廠,99689367,新北市中和區景新街三二號一樓,66940503,121.50324,24.99933,中華民國59年08月23日 03:38:51
西北食品工業股份有限公司,99606358,新北市林口區粉寮路一段一０二號,5634685,121.39996,25.08179,中華民國59年08月23日 03:38:51
台芳香料化學股份有限公司,99602623,新北市新店區寶橋路二三五巷八號六樓,4987107,121.55182,24.98019,中華民國59年08月23日 03:38:51
詩特莉食品股份有限公司,99615096,新北市新店區寶橋路二三五巷一四號六樓,23225889,121.5515,24.98059,中華民國59年08月23日 03:38:51
仰南食品股份有限公司鶯歌廠,99616720,新北市鶯歌區八德路二巷三七弄一０號,23166158,121.33707,24.94634,中華民國59年08月23日 03:38:51
華信食品工業有限公司,99603478,新北市新莊區民安西路四六０巷二一號,22071226,121.43068,25.00762,中華民國59年08月23日 03:38:51
浩漢食品廠有限公司,99605088,新北市三重區中正北路五三０巷一七號,2090908,121.47181,25.07089,中華民國59年08月23日 03:38:51
得立食品股份有限公司,99604216,新北市新店區民權路四八之三號二樓,23516943,121.53973,24.98306,中華民國59年08月23日 03:38:51
明泉米粉廠,99610333,新北市新莊區民安西路四六０巷一三號,78217434,121.43085,25.00777,中華民國59年08月23日 03:38:51
虹旭企業有限公司,99689764,新北市汐止區福德一路三九二巷二二弄一四號,30922636,121.62762,25.06186,中華民國59年08月23日 03:38:51
煌輝食品企業有限公司,99613891,新北市樹林區中正路二六四巷一號,23689389,121.41748,25.00795,中華民國59年08月23日 03:38:51
立基食品股份有限公司瑞芳二廠,99602092,新北市瑞芳區傑興里頂坪路瑞芳工業區二一號,30888763,121.79093,25.09835,中華民國59年08月23日 03:38:51
丸郁食品冷凍股份有限公司,99600833,新北市瑞芳區頂坪路五四號,23467605,121.79301,25.10205,中華民國59年08月23日 03:38:51
寶之川股份有限公司土城廠,99617164,新北市土城區永豐路一九五巷七弄五號,16791438,121.47152,24.97919,中華民國59年08月23日 03:38:51
可愛食品有限公司,99616929,新北市汐止區福德一路三九二巷四一弄一四號,4835799,121.62588,25.0625,中華民國59年08月23日 03:38:51
南嘉有限公司台北廠,99619638,新北市汐止區福德一路三九二巷五號,11454725,121.62728,25.06108,中華民國59年08月23日 03:38:51
啟元食品廠,99604074,新北市淡水區民族路一一號,37112610,121.46042,25.13708,中華民國59年08月23日 03:38:51
瑞昶貿易股份有限公司五股廠,99600376,新北市五股區五工二路一一六巷九號,4310533,121.45536,25.07071,中華民國59年08月23日 03:38:51
琦美製冰股份有限公司,99608646,新北市三重區中興北街一０八號,22455659,121.46982,25.0486,中華民國59年08月23日 03:38:51
七味之友有限公司,99602416,新北市五股區五工五路四六號,22407989,121.44894,25.06742,中華民國59年08月23日 03:38:51
旺昌食品有限公司,99612252,新北市三重區新北大道2段139巷26號,16481377,121.46641,25.06054,中華民國59年08月23日 03:38:51
正泉豆腐工廠有限公司,99617579,新北市板橋區三民路一段一三八巷一一號一樓,84193473,121.47835,25.02042,中華民國59年08月23日 03:38:51
同祥有限公司,99610205,新北市新莊區中正路五一四巷五三弄一八號,23979599,121.43134,25.03371,中華民國59年08月23日 03:38:51
旭梅企業有限公司,99602039,新北市瑞芳區頂坪路九０號,31118948,121.79301,25.10205,中華民國59年08月23日 03:38:51
七星香料股份有限公司,99610185,新北市新莊區化成路一一巷八九弄一一號,4424206,121.46225,25.04299,中華民國59年08月23日 03:38:51
育力企業有限公司,99607867,新北市板橋區干城路一三九號二樓,86199472,121.45986,24.99329,中華民國59年08月23日 03:38:51
永好食品廠有限公司,99602717,新北市新莊區福營路一六五巷六號,86225268,121.43221,25.03078,中華民國59年08月23日 03:38:51
滋美企業有限公司,99613746,新北市板橋區重慶路二六九巷五一號,23839471,121.46483,24.99895,中華民國59年08月23日 03:38:51
聖風有限公司,99603505,新北市新莊區五權一路五號四樓之七,9431521,121.45793,25.06617,中華民國59年08月23日 03:38:51
今達食品有限公司,99614495,新北市五股區國道路3段8巷10號,23911894,121.46926,25.07466,中華民國59年08月23日 03:38:51
全壽龍實業有限公司,99608340,新北市新店區中正路四維巷八弄一三號四樓,23383269,121.53496,24.98459,中華民國59年08月23日 03:38:51
惠格實業有限公司,99618700,新北市汐止區大安街56巷14號,22585034,121.67819,25.0733,中華民國59年08月23日 03:38:51
振芳股份有限公司,99601954,新北市五股區五工六路19號,3341208,121.44965,25.06231,中華民國59年08月23日 03:38:51
日正食品工業股份有限公司深坑廠,99617126,新北市深坑區北深路三段一四一巷九號,22425683,121.6033,25.00218,中華民國59年08月23日 03:38:51
長隆食品股份有限公司,99606633,新北市板橋區信義路一六三巷四號三樓,86587493,121.45923,24.99264,中華民國59年08月23日 03:38:51
聯發國際餐飲事業股份有限公司,99604586,新北市蘆洲區國道路2段26號4樓,80676602,121.47448,25.07373,中華民國59年08月23日 03:38:51
百原食品有限公司,99616579,新北市五股區中興路1段61號、59號(1樓),16995453,121.46788,25.07255,中華民國59年08月23日 03:38:51
超人有限公司,99615794,新北市中和區中板路15巷1號3樓,89498349,121.48433,25.01148,中華民國59年08月23日 03:38:51
柏泰食品興業股份有限公司,99613503,新北市新店區中正路五四巷三十號五樓,38443032,121.5454,24.9706,中華民國59年08月23日 03:38:51
大同茶業股份有限公司土城廠,99601691,新北市土城區自強街二二號,7015204,121.43237,24.97145,中華民國59年08月23日 03:38:51
鬍鬚張股份有限公司五股廠,99602405,新北市五股區五工一路一０六號,22721208,121.45728,25.06981,中華民國59年08月23日 03:38:51
佳糧股份有限公司,99602026,新北市新莊區五權二路二四號之一,23517823,121.45855,25.06777,中華民國59年08月23日 03:38:51
愛欣食品有限公司,99601194,新北市淡水區八勢一街一號,89797986,121.45993,25.1561,中華民國59年08月23日 03:38:51
群賀食品企業有限公司,99690661,新北市中和區立德街二六巷五弄五號,84520716,121.48972,25.00727,中華民國59年08月23日 03:38:51
晉東食品工業有限公司,99610474,新北市土城區中央路三段一二六巷三六弄一號,84240525,121.43442,24.96809,中華民國59年08月23日 03:38:51
三益化工香料有限公司,99603380,新北市中和區建三路五七號七樓,22911946,121.48618,25.00179,中華民國59年08月23日 03:38:51
福亭食品工業有限公司,99615986,新北市土城區亞洲路四二號,84560168,121.43571,24.97393,中華民國59年08月23日 03:38:51
邱氏鼎食品企業股份有限公司土城廠,99600825,新北市土城區自強街三一之二及之三號,5135956,121.42906,24.96931,中華民國59年08月23日 03:38:51
味冠食品有限公司,99613750,新北市土城區永豐路一九五巷七弄三號,23394126,121.47125,24.97907,中華民國59年08月23日 03:38:51
源崑食品有限公司,99611483,新北市新莊區雙鳳路一０九號五樓,84591319,121.41393,25.02807,中華民國59年08月23日 03:38:51
偉翔生技開發股份有限公司,99606338,新北市三重區重新路5段609巷4號10樓,84643105,121.46774,25.04554,中華民國59年08月23日 03:38:51
鴻福食品工廠有限公司板橋二廠,99606943,新北市板橋區金門街三六九巷六五號,34440941,121.42905,24.98371,中華民國59年08月23日 03:38:51
魔術食品工業股份有限公司,99603098,新北市樹林區光興街六一號,23930626,121.41093,25.00275,中華民國59年08月23日 03:38:51
真味行食品股份有限公司,99601822,新北市三重區中興北街一００之五及之六號,89224475,121.4695,25.04676,中華民國59年08月23日 03:38:51
禮莊食品企業有限公司,99617240,新北市土城區承天路八巷一九號,16785180,121.43682,24.96309,中華民國59年08月23日 03:38:51
百健產物有限公司,99607332,新北市中和區中板路7之1號5樓,86416301,121.48477,25.01156,中華民國59年08月23日 03:38:51
高印企業有限公司,99614546,新北市樹林區三俊街七四巷一一號,36102902,121.41367,25.01554,中華民國59年08月23日 03:38:51
百正研化食品有限公司,99605806,新北市中和區中板路7之2號5樓,89840962,121.48477,25.01156,中華民國59年08月23日 03:38:51
億鄉有限公司,99611799,新北市三重區中興北街一三六巷二二號,89888509,121.46785,25.05587,中華民國59年08月23日 03:38:51
味都股份有限公司,99611829,新北市新莊區雙鳳路一０七號六樓,23615839,121.4141,25.02806,中華民國59年08月23日 03:38:51
助福食品有限公司,99601132,新北市樹林區東豐街49巷10號,86263776,121.41488,24.97505,中華民國59年08月23日 03:38:51
安佳隆美容事業股份有限公司新店二廠,99606897,新北市新店區中正路五三八巷一０號五樓,23456608,121.53441,24.98414,中華民國59年08月23日 03:38:51
益康企業股份有限公司五股廠,99602221,新北市新莊區五權一路七號七樓之一０,22454960,121.45834,25.06664,中華民國59年08月23日 03:38:51
狀元香食品有限公司汐止廠,99617638,新北市汐止區大同路一段二八六巷一三號,84268776,121.63534,25.05702,中華民國59年08月23日 03:38:51
洪牌食品股份有限公司︵樹林廠︶,99602546,新北市樹林區新興街一六號,86649771,121.40008,24.97368,中華民國59年08月23日 03:38:51
常饌食品股份有限公司,99606064,新北市中和區中正路八一六號,89797070,121.48501,25.00323,中華民國59年08月23日 03:38:51
超比食品企業股份有限公司,99618110,新北市汐止區大同路一段三０二巷六號,84791870,121.63595,25.05762,中華民國59年08月23日 03:38:51
鋒美食品實業有限公司,99607184,新北市樹林區東豐街四九巷二二弄二三號,96873782,121.41421,24.9747,中華民國59年08月23日 03:38:51
嘉禾食品有限公司,99615990,新北市三峽區嘉添里嘉添181之22號,23211077,121.38989,24.90277,中華民國59年08月23日 03:38:51
佳郁企業股份有限公司樹林廠,99606417,新北市樹林區東興街4巷8號,12542260,121.40882,24.97954,中華民國59年08月23日 03:38:51
今點食品股份有限公司三重廠,99608643,新北市三重區光復路一段九九巷九號,96936442,121.47301,25.05092,中華民國59年08月23日 03:38:51
鑫大盒餐實業有限公司,99690650,新北市土城區永豐路二七０巷一九弄一號地下層,23848680,121.47036,24.97676,中華民國59年08月23日 03:38:51
金寧食品有限公司,99603545,新北市土城區自強街三之二號二樓,89991742,121.42906,24.96931,中華民國59年08月23日 03:38:51
大丘店有限公司,99605617,新北市汐止區康寧街169巷27之1號4樓之3,89596192,121.62265,25.06877,中華民國59年08月23日 03:38:51
勤記食品股份有限公司土城廠,99604039,新北市土城區永豐路一九五巷二七弄二０、二二、二四號,86965848,121.47299,24.9801,中華民國59年08月23日 03:38:51
御禮烘焙事業有限公司,99619003,新北市汐止區新臺五路一段七五號一三樓之五,97021298,121.64561,25.06114,中華民國59年08月23日 03:38:51
永新興業有限公司,99610893,新北市新莊區思源路四二巷三號,28402096,121.46061,25.04365,中華民國59年08月23日 03:38:51
天水商行,99608591,新北市鶯歌區文化路五０一之二八號,78889679,121.35294,24.94871,中華民國59年08月23日 03:38:51
味味美食有限公司,99616830,新北市五股區中興路一段九五巷四弄三、五號,53697463,121.46619,25.07273,中華民國59年08月23日 03:38:51
超有有限公司,99690233,新北市三重區興德路一四一巷八、一０號,97252353,121.46952,25.05323,中華民國59年08月23日 03:38:51
古早食品有限公司板橋廠,99612974,新北市板橋區國慶路七號二樓,84845405,121.45776,24.99552,中華民國59年08月23日 03:38:51
弘繽企業有限公司,99607819,新北市汐止區康寧街169巷29號2樓之3,96949072,121.62264,25.06892,中華民國59年08月23日 03:38:51
北香製麵廠股份有限公司,99618481,新北市汐止區康寧街169巷23之1號1樓,97493064,121.62272,25.06821,中華民國59年08月23日 03:38:51
元記食品有限公司三重廠,99612376,新北市三重區光復路1段30巷2號,89317608,121.47161,25.04727,中華民國59年08月23日 03:38:51
唯力香食品有限公司,99612485,新北市三峽區嘉添181之32號(1、3號),16370648,121.37003,24.9114,中華民國59年08月23日 03:38:51
喬賀興業有限公司,99614866,新北市中和區立德街一四八巷六號六樓,22595265,121.48732,25.00873,中華民國59年08月23日 03:38:51
佳香食品行,99613939,新北市蘆洲區中山一路95巷22弄6號,19504754,121.47726,25.08037,中華民國59年08月23日 03:38:51
財翰企業股份有限公司土城廠,99609851,新北市土城區中央路三段一０號,96984176,121.43875,24.96959,中華民國59年08月23日 03:38:51
隆昌食品有限公司,99600288,新北市土城區中央路一段三六五巷一四號,89778221,121.44496,24.98038,中華民國59年08月23日 03:38:51
果大行有限公司蘆洲廠,99609222,新北市蘆洲區和平路一一四巷一０號,97438823,121.46837,25.08001,中華民國59年08月23日 03:38:51
義峰食品股份有限公司,99601267,新北市土城區忠義路55巷54號,84628110,121.44293,24.96736,中華民國59年08月23日 03:38:51
