年別,類型,觀光遊憩區,細分,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2018,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,11857,8459,5983,8302,6585,6388,8756,8591,6803,6103,7703,2195,87725
2018,國家公園,玉山國家公園,排雲山莊,南投縣,693,7,2912,5727,6222,5402,5837,5319,5457,6305,5404,5167,54452
2019,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,27352,34907,35222,35030,20767,34606,35373,22122,51528,70039,61916,48972,477834
2019,國家公園,玉山國家公園,梅山遊客中心,高雄市,4101,6642,2501,2095,1658,2087,1524,1441,1427,2640,2395,4980,33491
2019,國家公園,玉山國家公園,南安遊客中心,花蓮縣,21924,26010,26386,28353,24358,28632,34775,31287,28446,30436,25996,26551,333154
2019,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,11190,11363,9086,8806,10814,9319,10718,9276,7502,9474,8179,9109,114836
2019,國家公園,玉山國家公園,排雲山莊,南投縣,1987,3,3977,5544,5068,5870,5692,4385,6243,6903,6832,5620,58124
2020,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,51931,46890,48327,47220,50851,78256,96966,68315,58332,79345,63976,60554,750963
2020,國家公園,玉山國家公園,梅山遊客中心,高雄市,9430,6852,7437,5076,2753,3334,4331,4255,2292,2292,3805,3426,55283
2020,國家公園,玉山國家公園,南安遊客中心,花蓮縣,30899,27033,27279,29949,31663,39123,40541,39847,32601,37335,28344,29379,393993
2020,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,13130,6426,5554,5946,6291,8255,10560,14369,10399,15137,17943,13099,127109
2020,國家公園,玉山國家公園,排雲山莊,南投縣,2256,1090,3061,4707,4306,6707,6999,6828,6596,7631,7598,6497,64276
2021,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,57816,68858,64606,64482,51361,14145,17509,28293,47107,66647,,,480824
2021,國家公園,玉山國家公園,梅山遊客中心,高雄市,4911,5625,3704,2839,2037,0,28,0,30,111,,,19285
2021,國家公園,玉山國家公園,南安遊客中心,花蓮縣,29566,34530,26708,28022,25852,15083,22058,29543,32413,30016,,,273791
2021,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,20647,12426,9732,11425,16145,0,122,1423,2624,4334,,,78878
2021,國家公園,玉山國家公園,排雲山莊,南投縣,3164,3574,5019,7271,3650,34,14,1420,2706,4269,,,31121
